Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.800002243359441,1.7924308819335393,1.793840630804928,0.2469194931858754,0.2630625609586178,0.26637630662020906
2,1.6874943675270984,1.539286299909409,1.5476907561416413,0.31305786563329996,0.3805211090985091,0.37299651567944253
3,1.5924981518708232,1.486647137023824,1.493955191463481,0.3642182261505639,0.40406855231991085,0.4045296167247387
4,1.536834151299883,1.4499861994936631,1.451961513681332,0.3909086950842513,0.4168872788073011,0.4181184668989547
5,1.5058158792576086,1.430029705266379,1.4384772080232837,0.3978316715287151,0.4113139194649575,0.4029616724738676
6,1.4837311734147058,1.4256644044527764,1.4301494788326592,0.40810728436452304,0.43416469276856623,0.4362369337979094
7,1.4715328931725458,1.4076856804849842,1.409484774289357,0.40941350633517654,0.4212066322976174,0.42229965156794425
8,1.44839687682792,1.38714974600913,1.3943853690431642,0.419514956241564,0.43820537829176537,0.43588850174216026
9,1.4362235887386008,1.3807611878305872,1.3747112588298023,0.4216484521269648,0.417583948725094,0.4202090592334495
10,1.4238115283025008,1.3928744508853734,1.3977347230512784,0.4260460660948317,0.4348613626863592,0.44337979094076657
11,1.407858903735129,1.3744949099746737,1.378468144404855,0.43061784299211914,0.43569736658771074,0.43850174216027876
12,1.4066007377626504,1.3394837086078584,1.3435208229633426,0.4314451169068664,0.4436394036505504,0.44337979094076657
13,1.3844347572094218,1.3232542442319652,1.323348339055574,0.43262071668045454,0.445450745436812,0.4508710801393728
14,1.3764280404553109,1.3478074280881138,1.3475384785272284,0.4403274263073105,0.44308206771631603,0.44703832752613243
15,1.3634366833482945,1.3707896371461235,1.3765896563742486,0.43997910044846955,0.4572941340392922,0.4627177700348432
16,1.3589250377708824,1.3391330567393909,1.3439873752487734,0.44572647711934515,0.46189215549672563,0.45801393728222994
17,1.3609230026893298,1.3052495796324681,1.3055889460369736,0.4408499150955719,0.46356416329942873,0.4588850174216028
18,1.3280887681378628,1.3426978752713958,1.3497765304982496,0.4564810380110593,0.4425247317820816,0.45278745644599305
19,1.3302188200621883,1.3471795705485186,1.3498736022242597,0.46201071102015934,0.4613348195624913,0.4625435540069686
20,1.308830163605034,1.3574367354070158,1.3577574943101505,0.4802542778769539,0.47331754214853,0.48257839721254353
21,1.2913472637285097,1.2668416174854626,1.2734367092007715,0.48756912091261373,0.5085690399888533,0.5149825783972125
22,1.273085318443503,1.2528376966250234,1.2546421628144457,0.5014586145338965,0.4722028702800613,0.4768292682926829
23,1.268831937508995,1.269289070487288,1.265827852039284,0.4994122001132059,0.49505364358367004,0.5116724738675958
24,1.246021646311024,1.2680929702746044,1.2593554213518552,0.5125615012844517,0.48934095025776786,0.5094076655052264
25,1.2308730504223895,1.2139988118131335,1.2095061965639544,0.5195715591936256,0.5282151316706145,0.5381533101045296
