Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.8084374335545113,1.7277590719858806,1.7385245259602864,0.25229129858657245,0.29180602006688966,0.28595317725752506
2,1.670195918464408,1.7121779584884644,1.7885845830705431,0.3337566254416961,0.33054626532887404,0.3141025641025641
3,1.5709699113777584,1.4407096825705634,1.4169820878240798,0.3793893551236749,0.4261426978818283,0.4350613154960981
4,1.5246778971946702,1.3879022269778782,1.3694224969546,0.39722283568904593,0.4738015607580825,0.4484392419175028
5,1.4898652975371784,1.3760603976249695,1.3810750447379219,0.40796157243816256,0.46348940914158304,0.4498327759197324
6,1.4577603953308014,1.3813174086146884,1.3724228440390693,0.4199701855123675,0.4673913043478261,0.47045707915273133
7,1.4371652520745466,1.439258631070455,1.4073409247398376,0.43578842756183744,0.47185061315496096,0.4576365663322185
8,1.418155493747851,1.388401371108161,1.4080957010057238,0.4496190371024735,0.5186733556298774,0.4935897435897436
9,1.3941039056270368,1.2643587329652575,1.2853927312956916,0.45665856890459366,0.49052396878483834,0.48244147157190637
10,1.3738382713796815,1.2927314700020685,1.3076258391804165,0.4636428886925795,0.49860646599777037,0.48940914158305465
11,1.3568318448039332,1.3106777919663324,1.2841746309068467,0.47338780918727913,0.479933110367893,0.4916387959866221
12,1.3357161978529535,1.232944815158844,1.2320940136909484,0.4777219522968198,0.5370680044593088,0.5275919732441472
13,1.3183670646836816,1.2515045181910196,1.2561414255036247,0.4887643551236749,0.5529542920847269,0.5239687848383501
14,1.2996229731046691,1.2302973357836406,1.2246257762114208,0.4996963339222615,0.5264771460423634,0.5261984392419174
15,1.2800159143685452,1.1557523454560175,1.1605651145511204,0.5075640459363958,0.5649386845039019,0.552675585284281
16,1.2622135841541071,1.1936349436971876,1.194243635336558,0.5162047261484098,0.5384615384615384,0.5303790412486065
17,1.2343919634713723,1.1397295522689819,1.149516003926595,0.5271367049469965,0.5746934225195095,0.5629877369007804
18,1.2144839186418814,1.1234874245855544,1.1637690676583183,0.5435898851590106,0.6061872909698997,0.5654960981047937
19,1.188849509973408,1.0669924195607503,1.1115070876810287,0.5577793727915195,0.6273690078037905,0.5869565217391305
20,1.1664308256637503,1.0774327051639556,1.1017133381631639,0.5670273851590106,0.5944816053511706,0.5930880713489409
21,1.1453139472739646,0.9834199611345927,1.0534794757101271,0.5800850265017667,0.6393534002229655,0.6025641025641025
22,1.1192858475046528,0.996237010690901,1.0403666667143503,0.5876490724381626,0.6438127090301003,0.6112040133779264
23,1.0972194407832918,0.9298315449555715,0.9850519422690074,0.5958204505300353,0.6669453734671126,0.6245819397993311
24,1.0753745247244624,0.9504280734062195,0.9984047489696078,0.604571554770318,0.673355629877369,0.6382385730211817
25,1.05673444327691,0.9688021584351858,1.005939929485321,0.615172261484099,0.6513377926421404,0.6318283166109253
26,1.0346587713373423,0.8993496358394623,0.9534230493174659,0.6211351590106007,0.6797658862876255,0.644927536231884
27,1.0169037746087823,0.8948664628134834,0.9450556212001376,0.6284507508833922,0.6923076923076923,0.6505016722408027
28,0.9957497174269109,0.9182099493344625,0.9358197009563446,0.6388030035335689,0.6630434782608695,0.653010033444816
29,0.9827825628984522,0.8545940885278913,0.89908583495352,0.6433579946996466,0.697324414715719,0.6686176142697882
30,0.9651309498602215,0.9004389822483063,0.933477728234397,0.6499282243816255,0.689520624303233,0.6702898550724637
31,0.9535544023523271,0.8766788869433932,0.929059450758828,0.6545660335689046,0.6914715719063546,0.6627647714604237
32,0.9335927056418502,0.7990440811051263,0.8461129454771678,0.6609154151943463,0.7123745819397993,0.6889632107023411
33,0.9223258212314056,0.8409913640552097,0.8648122539785174,0.665470406360424,0.6914715719063546,0.6836677814938684
34,0.9099091876811568,0.7846069976356295,0.845968043671714,0.6719854240282686,0.7341137123745819,0.6937012263099219
35,0.9007616335190438,0.8038710338539548,0.868925476471583,0.6736417844522968,0.7123745819397993,0.6680602006688964
36,0.882245908567004,0.7708524627155727,0.8275692544380824,0.6831106448763251,0.7271460423634337,0.697324414715719
37,0.8702705513172563,0.7765229213900037,0.8116337772210439,0.6857884275618374,0.729654403567447,0.7009476031215162
38,0.85701655512906,0.7502226423554951,0.8032561363776525,0.6948431978798587,0.7352285395763657,0.7109810479375697
39,0.8466546064696864,0.7598968244261212,0.7746148543887669,0.6992325530035336,0.7335562987736901,0.7201783723522854
40,0.836769489327926,0.734131690594885,0.7854404314027892,0.7014962455830389,0.7435897435897436,0.7112597547380156
41,0.8188545610360775,0.7171962175766627,0.778442878458235,0.707735203180212,0.7511148272017837,0.7190635451505016
42,0.8156640405960829,0.7183072408702639,0.7842548557122548,0.7081768992932862,0.7539018952062431,0.7212931995540691
43,0.8024485796466206,0.6777693073617087,0.7999452141920725,0.7146090989399293,0.7575250836120402,0.705685618729097
44,0.79282453288933,0.7393998422225316,0.8010074251890182,0.7165967314487632,0.7307692307692307,0.7109810479375697
45,0.7807054291726107,0.7354107026259105,0.7663009270694521,0.7231393551236749,0.7357859531772575,0.7268673355629878
46,0.7683008347535933,0.6974739833010568,0.7346214209662544,0.7261760159010601,0.7539018952062431,0.7355072463768116
47,0.7539180740582437,0.6768337739838495,0.7155715089374118,0.7316420053003534,0.7675585284280937,0.7505574136008919
