Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.6418515140924859,1.6487591359764338,1.6625106613357346,0.38225707883479326,0.38604499510922724,0.38922888616891066
2,1.6005114128612927,1.6598539271702368,1.6708772623693788,0.39152576899572217,0.38604499510922724,0.38922888616891066
3,1.5462888205478555,1.4985294407233596,1.5034640783613378,0.4174984721939295,0.43299641343332246,0.43084455324357407
4,1.4279320970032037,1.3446135527143876,1.3441818596480728,0.4677123650437971,0.5044016954678839,0.5087719298245614
5,1.3438682183380624,1.2804673742502928,1.2648526658485462,0.498370340191485,0.5242908379523965,0.5340677274581803
6,1.282300970259241,1.1930636372417212,1.1940160163424232,0.5245467508657568,0.5647212259537007,0.558547531619747
7,1.2220175945797649,1.1230735626692574,1.1191488353462962,0.5503157465878997,0.6126507988262145,0.5993472052223582
8,1.173339713182822,1.080987743102014,1.076112778929921,0.5738439600733347,0.6168894685360287,0.605875152998776
9,1.123477196945818,1.0524340905249119,1.0481735853018699,0.59319617029945,0.6341701988914249,0.6262749898000816
10,1.063992211212941,0.9730686261318624,0.9656702411639226,0.6123446730495009,0.654385392892077,0.64953080375357
11,1.0375160357462856,0.9424100786757966,0.9342595667808087,0.6306783458952944,0.6635148353439844,0.6650346797225622
12,0.9916397828717962,0.9273739547158281,0.9121212194879333,0.6473823589325728,0.6746005868927291,0.6748266013871889
13,0.959901588990168,0.8889275980181992,0.8797961057393582,0.6547158280708902,0.677535050537985,0.6809465524275806
14,0.9330530302046953,0.8402400916287055,0.8210076613279133,0.6634752495416582,0.7068796869905445,0.7176662586699306
15,0.8972267934427588,0.8203122754736493,0.8009748907832356,0.6775310653900998,0.7013368112161722,0.7213382292941657
16,0.8739082427385964,0.7756868267121414,0.758832329085895,0.6877164391933184,0.7368764264753831,0.7396980824153406
17,0.8540008629183816,0.7697084308601916,0.7645188501322424,0.6998370340191485,0.7290511900880339,0.7405140758873929
18,0.8166861539700521,0.7490185067678491,0.7387421572363222,0.7091057241800774,0.729703293120313,0.7384740922072623
19,0.7919381262813406,0.7296446078301718,0.721746633385683,0.7193929517213282,0.7424193022497555,0.7515299877600979
20,0.7840764136675514,0.7489694600614408,0.7398947053528452,0.7206151965777144,0.7378545810238017,0.7515299877600979
21,0.7550817169613092,0.6968861325488737,0.7075550689712747,0.7321246689753514,0.7606781871535703,0.7539779681762546
22,0.7433631566477521,0.7513852384872735,0.731980963525447,0.733550621307802,0.7414411477013368,0.744594043247654
23,0.7257572112283411,0.681198320351541,0.6780955316922204,0.7388470156854756,0.7626344962504076,0.766625866993064
24,0.7132067302490679,0.703701917702953,0.7292420593175021,0.7432267264208596,0.7649168568633844,0.7494900040799674
25,0.6906259694297461,0.7340385195178291,0.7398441657907777,0.755449174984722,0.7508966416693837,0.7466340269277846
26,0.6790921596585734,0.6898439498618245,0.6925693543555288,0.7545324913424323,0.7580697750244538,0.7723378212974297
27,0.6662298035277023,0.6665060030451665,0.6746109337001652,0.7607455693623956,0.7671992174763612,0.7674418604651163
28,0.6448514928452743,0.6777607867649446,0.6674541059833068,0.7701161132613566,0.7665471144440822,0.7707058343533252
29,0.6356665784013776,0.6460891851456836,0.684249756881943,0.7711346506416785,0.7750244538637104,0.7637698898408812
30,0.617399641230751,0.6452087047509849,0.6573926408763056,0.7754125076390304,0.7838278447994783,0.7784577723378213
31,0.6181329220339219,0.6623590787639841,0.6732360595329241,0.779079242208189,0.781871535702641,0.7760097919216646
32,0.6094959632702875,0.6372318198555149,0.6435885237312162,0.7849867590140558,0.781871535702641,0.7813137494900041
33,0.5809624313288869,0.6671233605011366,0.6861386995810967,0.7891627622733755,0.7750244538637104,0.7756017951856385
34,0.5733698432239726,0.6704790207246939,0.6773494199498907,0.7903850071297617,0.7874144114770134,0.7788657690738474
35,0.5687473374343074,0.7086533043766394,0.7311621677227221,0.797718476268079,0.7610042386697098,0.7617299061607508
36,0.5611389084849567,0.7089372172486037,0.716683920061627,0.7983295986962722,0.7662210629279426,0.7576499388004896
37,0.5366914466096252,0.6497050888525943,0.6792820317598133,0.8091260949276838,0.781871535702641,0.7719298245614035
38,0.5273179474623467,0.6164872289712852,0.6420295584735638,0.8093298024037482,0.7991522660580371,0.7898816809465524
39,0.5149844489773244,0.6343420565826818,0.6556664611297575,0.8121817070686494,0.7887186175415716,0.7882496940024479
40,0.5122584202948727,0.6678878523719808,0.6908571165200178,0.8177836626604197,0.7802412781219432,0.7882496940024479
41,0.49342407079273987,0.6764462428788344,0.7001826881201236,0.8268486453452841,0.7795891750896642,0.773969808241534
42,0.4825008396022871,0.6675055758096278,0.6813197116573135,0.8263393766551232,0.7926312357352462,0.7833537331701347
43,0.4820123721120412,0.6548956985546587,0.6770394173535433,0.8265430841311876,0.7985001630257581,0.7923296613627091
44,0.47082779036549677,0.6235064186039381,0.6489521545152386,0.8314320635567325,0.8046951418324095,0.7943696450428397
45,0.4736351589475082,0.6192097987513989,0.6283735575323756,0.8335709920554084,0.7971959569611998,0.7960016319869441
46,0.44936820846475684,0.7072818750748411,0.7207018570466475,0.8383581177429211,0.7851320508640365,0.7858017135862914
47,0.4354534563259601,0.6758716778131202,0.6970414544951606,0.8444693420248524,0.7906749266384089,0.7882496940024479
48,0.43513837272258843,0.863332430832088,0.8748170706842627,0.8469138317376248,0.7244864688620802,0.7290901672786617
49,0.43477610408264766,0.6662294116104022,0.6871201679013766,0.8438582195966592,0.7815454841865015,0.7939616483068136
50,0.4185255269614027,0.6513334181605993,0.6566763427562092,0.847015685475657,0.7906749266384089,0.7915136678906569
51,0.41297583442169217,0.7785544836951885,0.8019331779751273,0.8542473008759421,0.7923051842191067,0.7756017951856385
52,0.37223212135173017,0.6468885086554413,0.675421841321634,0.8714605826033816,0.807955656993805,0.806609547123623
53,0.37342602704994454,0.6444903114364328,0.6676623537265635,0.8704420452230597,0.8027388327355722,0.799265605875153
54,0.3606306839710047,0.7177454573684372,0.7299718828388042,0.8688123854145448,0.7893707205738507,0.7972256221950225
55,0.34314885738848766,0.6950162731712529,0.7299705105652283,0.8784884905276024,0.8020867297032931,0.7898816809465524
56,0.3395507420058262,0.6767445073540633,0.6780028657794193,0.8770625381951518,0.8004564721225954,0.8000815993472052
57,0.34017599206296456,0.7059274634666508,0.7242846332472301,0.8806274190262783,0.805021193348549,0.7968176254589964
58,0.34334314269307964,0.6711461414039755,0.6952929960854062,0.8757384396007334,0.8030648842517117,0.8004895960832313
59,0.30722206405664304,0.6879870509146713,0.6967877135914448,0.8926461601140762,0.8033909357678514,0.8090575275397797
60,0.3137675414426125,0.6629439750007199,0.6936832082445745,0.8904053778773681,0.8118682751874796,0.7988576091391268
61,0.29706462895185215,0.6602630949928425,0.7104730161221383,0.8967203096353636,0.8141506358004564,0.8094655242758058
62,0.287104549623589,0.7045486959201904,0.7221144368364052,0.8990629456101039,0.805021193348549,0.8070175438596491
63,0.28755067112925387,0.7136523263470735,0.7362943225141082,0.9011000203707477,0.7985001630257581,0.8037535699714402
64,0.2782927416811063,0.840040887259723,0.8538802163524238,0.904053778773681,0.7903488751222694,0.7796817625458996
65,0.28775872269505787,0.6664430831636613,0.7047093785912185,0.8976369932776533,0.8105640691229214,0.8106895144838842
66,0.2748719202096692,0.6887781159700049,0.7058112480036625,0.901303727846812,0.810890120639061,0.8131374949000408
67,0.27368011141760146,0.6849813656687426,0.7205622944763148,0.9017111427989407,0.8092598630583632,0.8119135046919624
68,0.26318527315819107,0.6620203597121872,0.7013616468031685,0.9072112446526788,0.8170850994457124,0.8094655242758058
69,0.2514187845489441,0.6745774398441426,0.7052214359985544,0.9119983703401915,0.805021193348549,0.8086495308037536
70,0.26697777690371977,0.6824789506111605,0.7116256863023941,0.9046649012018741,0.8063253994131073,0.8074255405956753
71,0.24284826010368546,0.713726597741091,0.7436992126311381,0.9168873497657364,0.8121943267036191,0.8090575275397797
72,0.2528305366098371,0.688377419069487,0.7108611207237685,0.9102668567936443,0.8121943267036191,0.8115055079559363
73,0.23095763798390517,0.6935661896908035,0.7300369922894162,0.9182114483601548,0.8125203782197588,0.8094655242758058
74,0.22830825338689217,0.7104538580412433,0.737822240448327,0.9176003259319617,0.8128464297358983,0.8102815177478581
75,0.2189248459692741,0.6975804310447226,0.7305759694790105,0.9235078427378285,0.8131724812520378,0.8094655242758058
76,0.22192856123525323,0.725314019121773,0.8072561790392577,0.9216744754532491,0.820345614607108,0.8062015503875969
77,0.20500060832825662,0.7288303513390323,0.7776370583254808,0.9288042371155021,0.8170850994457124,0.8057935536515708
78,0.20726530552585382,0.698744336948342,0.7498267962198172,0.9256467712365044,0.8128464297358983,0.8159934720522236
79,0.2143335323894536,0.7007411262311507,0.7386178017726966,0.9255449174984722,0.8141506358004564,0.8180334557323541
80,0.2114069519582711,0.707672391848367,0.7544787702114357,0.9255449174984722,0.8187153570264102,0.817625458996328
