Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.6709675315148667,1.5465897141645353,1.5703698706317257,0.3760440008148299,0.38604499510922724,0.38922888616891066
2,1.528739268500176,1.3631021305918694,1.354699600439567,0.4368506824200448,0.49788066514509294,0.5071399428804569
3,1.37174787340801,1.2559691627199452,1.2436168286707494,0.49979629252393565,0.5370068470818389,0.5430436556507547
4,1.3086165358655228,1.2623069441566865,1.2469200294513207,0.5229170910572418,0.5474404955983045,0.5495716034271726
5,1.2670224241985173,1.2385715143755078,1.2226130614032993,0.5348339784070075,0.5663514835343985,0.5785393716850266
6,1.2217444732833762,1.1510018818080425,1.142424793599488,0.5501120391118354,0.5735246168894685,0.5732354141166871
7,1.1807637462204366,1.122834898531437,1.1203050837888346,0.5703809329802404,0.6341701988914249,0.6266829865361077
8,1.1229302039558025,1.0141684028009574,1.006188057556555,0.5980851497249949,0.6452559504401696,0.6368829049367605
9,1.073302701698064,0.9557865493309995,0.9584675802812948,0.6149928702383377,0.6781871535702642,0.6858425132598939
10,1.0338746909209882,0.9319776172439257,0.9185724666753372,0.6347524954165817,0.6843821323769156,0.6948184414524684
11,0.9855466031193345,0.9109028320138653,0.9028588814007772,0.6526787533102465,0.707205738506684,0.7095063239494084
12,0.9602802713744415,0.8491308630133668,0.8615092197795967,0.6625585658993685,0.7160091294424519,0.7013463892288861
13,0.9176427831673079,0.8370947797472278,0.834106157352398,0.6808922387451619,0.7010107597000326,0.7062423500611995
14,0.8863966255554936,0.8145442910802861,0.8116329832897557,0.6950499083316358,0.7313335507010108,0.7319461444308446
15,0.8525185448387547,0.7814656929112971,0.7747391472002129,0.7024852312079853,0.7368764264753831,0.7319461444308446
16,0.8241019096067752,0.7790409526787698,0.7833384478634055,0.7229578325524547,0.7342680143462668,0.7368421052631579
17,0.7796470651263523,0.7720732040082415,0.7950494984140644,0.7347728661641882,0.7482882295402674,0.7250101999184007
18,0.7536618046049963,0.7141998782753944,0.7142406846215199,0.7428193114687309,0.7580697750244538,0.762545899632803
19,0.7498310372864384,0.7553835050202906,0.7689160948449915,0.7448563862293747,0.7453537658950115,0.744594043247654
20,0.7059052112824754,0.6962935257082185,0.7158537159685965,0.763699327765329,0.765895011411803,0.7564259485924113
21,0.693110176001096,0.6866867046337575,0.7090283244267687,0.7653289875738439,0.7645908053472449,0.7760097919216646
22,0.6603861714710242,0.653368447907269,0.6673054118918909,0.7774495823996741,0.7857841538963156,0.7825377396980824
23,0.6389763849371808,0.671008366586951,0.6966182501478628,0.7843756365858627,0.7792631235735246,0.7682578539371685
24,0.6284874746582019,0.6964522728618855,0.7245019435302004,0.7877368099409249,0.7727420932507336,0.7731538147694819
25,0.6028918613852624,0.7337464542360976,0.7443082116441438,0.7975147687920147,0.7704597326377568,0.7694818441452468
26,0.5849944741528857,0.6217127571192881,0.6409749827988735,0.808107557547362,0.7883925660254321,0.7853937168502652
27,0.5748556177905406,0.6577190548996441,0.6793181764615046,0.8046445304542676,0.7887186175415716,0.7878416972664218
28,0.5714659438702105,0.6463136175492158,0.6397969806929688,0.808107557547362,0.7815454841865015,0.7927376580987352
